type	id	guardian	time	unixtime	weekday	weekday_num	hour	day_night	seek	location
chainsaw	48043ef7e3bc-2015-01-28T23-17-28	48043ef7e3bc	2015-01-28T23:19:24.000Z	1422487164	Thu	4	0	night	1:56	48043ef7e3bc-2015-01-28T23-17-28.wav
chainsaw	48043ef7e3bc-2015-01-28T23-41-31	48043ef7e3bc	2015-01-28T23:42:20.000Z	1422488540	Thu	4	0	night	0:49	48043ef7e3bc-2015-01-28T23-41-31.wav
chainsaw	48043ef7e3bc-2015-01-29T00-11-34	48043ef7e3bc	2015-01-29T00:14:42.000Z	1422490482	Thu	4	1	night	3:08	48043ef7e3bc-2015-01-29T00-11-34.wav
chainsaw	48043ef7e3bc-2015-01-29T00-11-34	48043ef7e3bc	2015-01-29T00:14:56.000Z	1422490496	Thu	4	1	night	3:22	48043ef7e3bc-2015-01-29T00-11-34.wav
chainsaw	48043ef7e3bc-2015-01-29T00-17-35	48043ef7e3bc	2015-01-29T00:21:42.000Z	1422490902	Thu	4	1	night	4:07	48043ef7e3bc-2015-01-29T00-17-35.wav
chainsaw	48043ef7e3bc-2015-01-29T00-35-37	48043ef7e3bc	2015-01-29T00:41:27.000Z	1422492087	Thu	4	1	night	5:50	48043ef7e3bc-2015-01-29T00-35-37.wav
chainsaw	48043ef7e3bc-2015-01-29T00-41-38	48043ef7e3bc	2015-01-29T00:46:55.000Z	1422492415	Thu	4	1	night	5:17	48043ef7e3bc-2015-01-29T00-41-38.wav
chainsaw	48043ef7e3bc-2015-01-29T00-47-39	48043ef7e3bc	2015-01-29T00:51:52.000Z	1422492712	Thu	4	1	night	4:13	48043ef7e3bc-2015-01-29T00-47-39.wav
chainsaw	48043ef7e3bc-2015-01-29T01-11-42	48043ef7e3bc	2015-01-29T01:12:06.000Z	1422493926	Thu	4	2	night	0:24	48043ef7e3bc-2015-01-29T01-11-42.wav
chainsaw	48043ef7e3bc-2015-01-29T01-29-44	48043ef7e3bc	2015-01-29T01:30:32.000Z	1422495032	Thu	4	2	night	0:48	48043ef7e3bc-2015-01-29T01-29-44.wav
chainsaw	48043ef7e3bc-2015-01-29T01-29-44	48043ef7e3bc	2015-01-29T01:31:33.000Z	1422495093	Thu	4	2	night	1:49	48043ef7e3bc-2015-01-29T01-29-44.wav
chainsaw	48043ef7e3bc-2015-01-29T01-41-46	48043ef7e3bc	2015-01-29T01:44:49.000Z	1422495889	Thu	4	2	night	3:03	48043ef7e3bc-2015-01-29T01-41-46.wav
chainsaw	ed7f84df28eb-2015-02-07T20-50-01	ed7f84df28eb	2015-02-07T20:50:54.000Z	1423342254	Sat	6	21	night	0:53	ed7f84df28eb-2015-02-07T20-50-01.wav
chainsaw	ed7f84df28eb-2015-02-07T21-50-08	ed7f84df28eb	2015-02-07T21:53:24.000Z	1423346004	Sat	6	22	night	3:16	ed7f84df28eb-2015-02-07T21-50-08.wav
chainsaw	ed7f84df28eb-2015-02-07T22-50-16	ed7f84df28eb	2015-02-07T22:54:05.000Z	1423349645	Sat	6	23	night	3:49	ed7f84df28eb-2015-02-07T22-50-16.wav
chainsaw	ed7f84df28eb-2015-02-08T00-14-26	ed7f84df28eb	2015-02-08T00:20:11.000Z	1423354811	Sun	7	1	night	5:45	ed7f84df28eb-2015-02-08T00-14-26.wav
